strategy,p1,hold,day2_alpha,day2_edge,day2_trades,day3_alpha,day3_edge,day3_trades,day4_alpha,day4_edge,day4_trades,day3_10pct_alpha,day3_10pct_edge,day3_10pct_trades,alpha_score,trade_score,score
momentum,2.0,3,-0.05653541057915636,-11.261898741290178,427104,-0.10829462569970003,-11.464424218624742,430363,-0.1401375284152062,-11.587287019011281,422749,-0.23642135237961862,-11.619190999696567,42843,-0.1603762450888806,-11.511993594698131,-0.1603762450888806
momentum,4.0,2,-0.05163922004445343,-11.208594328820638,356328,-0.10955248563410397,-11.432638981691834,359184,-0.09265391671826098,-11.52982056539792,352106,-0.2560955197232606,-11.595352340567985,35846,-0.16137941251891794,-11.475628300167775,-0.16137941251891794
momentum,6.0,2,-0.07208287298487093,-11.175792112905377,292351,-0.14297419579037743,-11.430126942811004,293518,-0.11390051946698171,-11.539877343247799,287795,-0.2294500599623094,-11.533938667123522,29185,-0.16334901865813617,-11.442437812836031,-0.16334901865813617
momentum,6.0,1,-0.09612997219571752,-11.199893297218546,292401,-0.1343095977763244,-11.421503706126009,293568,-0.32095745974395945,-11.746961038058677,287845,-0.1676757311441765,-11.472481614503163,29235,-0.16968561197088172,-11.448940282904136,-0.16968561197088172
cross_section,1.2,1,-0.09853963717477301,-11.735601136225014,114766,-0.06794832892626468,-11.943638649269582,115345,-0.05022092399844706,-12.593157826625502,108182,-0.3042565947242206,-12.160671462829736,11676,-0.17774619944587391,-12.097123789366126,-0.17774619944587391
momentum,4.0,3,-0.06911456783747523,-11.226031357535408,356278,-0.12008748823558894,-11.443141000295155,359134,-0.1601847433362874,-11.597342468243689,352056,-0.2605039669236786,-11.599424516705778,35796,-0.17909490783071133,-11.493176874320266,-0.17909490783071133
momentum,10.0,1,-0.16064153832152933,-11.17111257434382,186801,-0.19608773001532542,-11.430574756990215,186618,-0.4601383257549642,-11.901399125614887,182757,-0.1008385177170679,-11.330267784690289,18485,-0.18574393550329615,-11.40416783821967,-0.18574393550329615
momentum,8.0,2,-0.08211695116199023,-11.132767317245218,235329,-0.19118974467634284,-11.44601758660875,235975,-0.13781469659631784,-11.561211276023508,230897,-0.24830994352216326,-11.508685606708882,23372,-0.18707301824208777,-11.428847195193317,-0.18707301824208777
momentum,8.0,1,-0.12575038554841342,-11.17648133435863,235379,-0.16565194365003708,-11.420548670691664,236025,-0.37581133333622,-11.799218002398819,230947,-0.17837930151139955,-11.439415933737513,23422,-0.1949228515202529,-11.437025871551763,-0.1949228515202529
momentum,8.0,3,-0.08910697512315166,-11.139680974502612,235279,-0.15334534279961853,-11.408116986330402,235925,-0.3273791732186253,-11.750800313627641,230847,-0.28612468913472255,-11.54583654918103,23322,-0.226353449677973,-11.467806086342215,-0.226353449677973
cross_section,0.8,3,-0.07891707731992123,-11.395942160298075,216322,-0.04129739139339016,-11.55122238435348,195315,-0.12750644604100433,-11.481913535434451,199735,-0.4278112345550825,-12.09713425397155,19262,-0.23568391619860007,-11.755430353532676,-0.23568391619860007
cross_section,1.4,1,-0.23929530610999206,-12.056674601721296,65532,-0.07554387101597348,-12.027336838695208,80258,-0.049563283892099165,-13.160426597076132,75106,-0.41163976210705183,-12.008496176720476,8239,-0.2556402209571813,-12.194689557168935,-0.2556402209571813
reversal,14.0,2,0.10942955775146641,-10.952659327180827,101097,0.04565364206464062,-11.392503617945007,103650,0.29950884859938187,-11.444447725348924,101598,-0.7451733648542159,-12.07811268715524,10152,-0.2593850469312685,-11.620850457047364,-0.2593850469312685
cross_section,1.0,2,-0.0988921343371138,-11.619897585060619,163648,-0.05943501990453877,-11.695537758205168,148961,-0.11023777173913044,-11.829857336956522,147200,-0.5482449644549763,-12.330790876777252,13504,-0.29491133061393937,-11.986421563746399,-0.29491133061393937
reversal,16.0,2,0.13729864181933038,-10.963663402821647,75984,0.059162855234081914,-11.46881905544992,77836,0.44920486070409876,-11.408549212675341,76779,-0.8932746617627741,-12.31301720740838,7613,-0.2953005692769511,-11.738636616889385,-0.2953005692769511
cross_section,1.2,2,-0.21264252589002405,-11.84982042609575,114716,-0.1361614304667921,-12.011992819916927,115319,-0.09993713192126698,-12.643094218910349,108163,-0.6063282455839478,-12.46269936546047,11662,-0.3575990715723298,-12.2770414964963,-0.3575990715723298
cross_section,1.0,3,-0.15803066052152226,-11.67906698125894,163598,-0.08715503928019876,-11.723319680386759,148930,-0.1661332735389445,-11.885785922498318,147171,-0.8202209698947056,-12.60366305798606,13486,-0.44305656744380345,-12.134993596797614,-0.44305656744380345
cross_section,1.6,1,-0.618903095268845,-12.635025184037195,23229,-0.1842369046596214,-12.778675143912707,34917,-0.09028785217988852,-13.375887607849126,39291,-0.6750058452186112,-12.679214402618658,4277,-0.4779238081610516,-12.794769687945745,-0.4779238081610516
cross_section,1.4,2,-0.4653137263884435,-12.282865301510224,65487,-0.15069355301038148,-12.102481337005695,80239,-0.10093752913132066,-13.211916208333887,75091,-0.8274583687857056,-12.423605202382399,8227,-0.5106983512030306,-12.449479100025348,-0.5106983512030306
cross_section,1.2,3,-0.312443859174828,-11.949750146075157,114667,-0.20368539286860435,-12.079605873730408,115293,-0.14969855008137298,-12.693038911081521,108144,-0.9088255494505495,-12.765625,11648,-0.5346521301736397,-12.454358290623341,-0.5346521301736397
cross_section,1.4,3,-0.6841248739341708,-12.501986491855384,65442,-0.2256108202443281,-12.17744951383695,80220,-0.15153311311204645,-13.26268048377644,75076,-1.2428484479610469,-12.838587948874011,8215,-0.7639589073849778,-12.702653850698239,-0.7639589073849778
cross_section,1.6,2,-1.1259647307377225,-13.143103522614583,23193,-0.3700504269096327,-12.965073634748725,34902,-0.18214449366121888,-13.46761875668245,39282,-1.3605904404873477,-13.367150890346768,4268,-0.9387904037979603,-13.256996145631074,-0.9387904037979603
cross_section,1.6,3,-1.619397184558252,-13.637317557647465,23158,-0.5546462967209356,-13.149879614767256,34888,-0.2634634481704988,-13.548875817992005,39273,-2.054225352112676,-14.061971830985916,4260,-1.3987296219321166,-13.71765813112541,-1.3987296219321166
