threshold,hold,spread_max,size_scale,taker_frac,day2_pnl,day2_trades,day3_pnl,day3_trades,day4_pnl,day4_trades,day3_10pct_pnl,day3_10pct_trades,total_3days,score
8.0,1,10,0.25,0.8,-4748666.775,116804,-4595863.175,113535,-2851773.7750000004,102982,-473110.625,11349,-12196303.725,-2089656.4024999999
8.0,2,10,0.25,0.6,-4449373.687499999,116754,-4279728.537500001,113485,-3583647.7125000004,102932,-444748.15,11299,-12312749.9375,-2091523.973125
8.0,2,8,0.75,0.4,-3242155.6500000004,42428,-4795357.949999999,53426,-4280209.05,56877,-472019.025,4777,-12317722.649999999,-2107268.86125
8.0,3,10,0.25,0.8,-4741156.0,116704,-4599225.275,113435,-3158426.05,102882,-478998.22500000003,11249,-12498807.325,-2138270.1225
8.0,3,8,0.75,0.8,-3689605.5749999993,42378,-5728874.850000001,53376,-2831660.175,56827,-548070.15,4727,-12250140.600000001,-2138959.6725
8.0,2,12,0.15,1.0,-4407461.512500001,150353,-4207542.7875,145877,-3951529.575,139897,-465983.775,15240,-12566533.875,-2141271.1575
8.0,1,8,0.75,1.0,-4025229.1875,42478,-5813485.5,53476,-2504146.875,56927,-550977.5625,4827,-12342861.5625,-2154466.89375
8.0,1,10,0.35,0.2,-5146334.077500001,116804,-5019303.4675,113535,-2707767.965,102982,-517525.225,11349,-12873405.510000002,-2215649.70025
8.0,1,10,0.25,1.0,-5106238.0625,116804,-4932745.3125,113535,-3157658.375,102982,-507593.875,11349,-13196641.75,-2258672.89375
8.0,2,10,0.25,0.8,-4806779.75,116754,-4616465.425,113485,-3889367.7,102932,-479094.95000000007,11299,-13312612.875,-2260394.15375
8.0,3,10,0.35,0.2,-5137144.25,116704,-5025244.0525,113435,-3138467.255,102882,-526895.985,11249,-13300855.557500001,-2284921.125375
8.0,1,14,0.15,0.2,-5167408.657500001,210935,-4752564.7875,195371,-3669331.7100000004,184492,-465529.0575,19090,-13589305.155000001,-2294436.754875
8.0,2,8,0.75,0.6,-3560853.5999999996,42428,-5193641.175000001,53426,-4734030.075,56877,-508738.35,4777,-13488524.850000001,-2303084.8200000003
8.0,3,10,0.25,1.0,-5098411.75,116704,-4935813.6875,113435,-3463980.625,102882,-513212.875,11249,-13498206.0625,-2306997.990625
8.0,3,14,0.15,0.2,-5214623.999999999,210835,-4731313.5,195271,-3869695.1774999993,184392,-466583.88,18990,-13815632.677499998,-2328966.035625
8.0,3,8,1.0,0.4,-4070588.3,42378,-6577460.399999999,53376,-2566533.7,56827,-633807.1,4727,-13214582.399999999,-2330781.265
8.0,3,8,0.75,1.0,-4007937.75,42378,-6126764.625,53376,-3285040.125,56827,-584427.5625,4727,-13419742.5,-2334396.534375
8.0,1,8,1.0,0.6,-4516078.55,42478,-6688244.0,53476,-2127588.499999999,56927,-635727.25,4827,-13331911.05,-2349436.645
8.0,1,12,0.25,0.2,-5258385.675,150403,-5081730.562500001,145927,-3629048.3,139947,-565006.0125000001,15290,-13969164.537500001,-2406127.9875000003
8.0,2,14,0.15,0.2,-5298799.672499999,210885,-4742773.845000001,195321,-4358124.000000001,184442,-466937.4825,19040,-14399697.517500002,-2416770.2430000002
8.0,2,10,0.25,1.0,-5164185.8125,116754,-4953202.3125,113485,-4195087.6875,102932,-513441.75,11299,-14312475.8125,-2429264.3343749996
8.0,3,12,0.25,0.2,-5254038.975000001,150303,-5065245.6625,145827,-3956836.65,139847,-556962.675,15190,-14276121.2875,-2447747.664375
8.0,1,10,0.35,0.4,-5646933.88,116804,-5490938.46,113535,-3136006.405,102982,-565801.775,11349,-14273878.745,-2452272.788
8.0,2,10,0.35,0.2,-5228386.187499999,116754,-5048756.6675,113485,-4161090.8325,102932,-526476.37,11299,-14438233.6875,-2455297.056625
8.0,2,8,0.75,0.8,-3879551.5500000003,42428,-5591924.4,53426,-5187851.100000001,56877,-545457.675,4777,-14659327.05,-2498900.77875
8.0,1,14,0.15,0.4,-5657214.54,210935,-5193973.05,195371,-4090390.32,184492,-508069.665,19090,-14941577.91,-2520675.00225
8.0,3,10,0.35,0.4,-5637302.299999999,116704,-5496467.830000001,113435,-3566243.66,102882,-574796.4949999999,11249,-14700013.79,-2521140.1407500003
8.0,2,8,1.0,0.2,-3897943.5999999996,42428,-5862766.300000001,53426,-5101850.699999999,56877,-580399.6,4777,-14862560.6,-2548603.87
8.0,3,14,0.15,0.4,-5704190.475,210835,-5172508.199999999,195271,-4290519.105,184392,-508920.81,18990,-15167217.78,-2554989.1125
8.0,2,12,0.25,0.2,-5330872.937499999,150353,-5104630.8625,145877,-4732064.824999999,139897,-566913.325,15240,-15167568.624999998,-2586937.6224999996
8.0,3,8,1.0,0.6,-4495031.2,42378,-7107980.100000001,53376,-3171040.3,56827,-682283.65,4727,-14774051.600000001,-2591363.7475
8.0,1,8,1.0,0.8,-4941525.4,42478,-7219779.0,53476,-2733225.4999999995,56927,-685182.0,4827,-14894529.9,-2611029.5849999995
8.0,2,14,0.15,0.4,-5788484.219999999,210885,-5184079.665,195321,-4779065.625,184442,-509374.44000000006,19040,-15751629.509999998,-2642900.3685
8.0,1,12,0.25,0.4,-5762278.85,150403,-5558869.625,145927,-4092682.475,139947,-617593.525,15290,-15413830.95,-2651751.08125
8.0,1,10,0.35,0.6,-6147533.682499999,116804,-5962573.4525,113535,-3564244.8449999997,102982,-614078.325,11349,-15674351.979999997,-2688895.8757499997
8.0,2,10,0.35,0.4,-5728754.675000001,116754,-5520188.309999999,113485,-4589098.814999999,102932,-574561.8899999999,11299,-15838041.799999997,-2691715.3094999995
8.0,3,12,0.25,0.4,-5757595.075,150303,-5542059.324999999,145827,-4420104.425,139847,-609254.8500000001,15190,-15719758.825,-2693053.9912499995
8.0,2,8,0.75,1.0,-4198249.5,42428,-5990207.625,53426,-5641672.125,56877,-582177.0,4777,-15830129.25,-2694716.7375
8.0,1,16,0.15,0.2,-5619563.760000001,221944,-5678667.0675,219249,-4701014.7299999995,210557,-545965.6125,21434,-15999245.557500001,-2700167.9205
8.0,3,16,0.15,0.2,-5664706.342499999,221844,-5666191.8,219149,-4881566.235,210457,-539919.1725,21334,-16212464.377499998,-2728825.2015
8.0,1,14,0.15,0.6,-6147020.4225,210935,-5635381.3125,195371,-4511448.929999999,184492,-550610.2725,19090,-16293850.665,-2746913.2496249997
8.0,3,10,0.35,0.6,-6137460.349999999,116704,-5967691.607499999,113435,-3994020.065,102882,-622697.0049999999,11249,-16099172.022499997,-2757359.1561249997
8.0,3,14,0.15,0.6,-6193756.949999999,210835,-5613702.9,195271,-4711343.0325,184392,-551257.74,18990,-16518802.8825,-2781012.189375
8.0,2,8,1.0,0.4,-4322874.199999999,42428,-6393810.6,53426,-5706945.399999999,56877,-629358.7,4777,-16423630.2,-2809691.8149999995
8.0,2,16,0.15,0.2,-5747307.967499999,221894,-5669452.4174999995,219199,-5379319.0275,210507,-541016.3324999999,21384,-16796079.412499998,-2816970.89475
8.0,2,12,0.25,0.4,-5834597.000000001,150353,-5581615.975,145877,-5195519.274999999,139897,-619344.9,15240,-16611732.25,-2832399.5324999997
8.0,3,8,1.0,0.8,-4919474.100000001,42378,-7638499.800000001,53376,-3775546.9,56827,-730760.2000000001,4727,-16333520.800000003,-2851946.2300000004
8.0,2,14,0.15,0.6,-6278168.7675,210885,-5625385.485,195321,-5200007.250000001,184442,-551811.3975,19040,-17103561.5025,-2869030.494
8.0,1,8,1.0,1.0,-5366972.25,42478,-7751314.0,53476,-3338862.5,56927,-734636.75,4827,-16457148.75,-2872622.525
8.0,1,12,0.25,0.6,-6266172.025000001,150403,-6036008.6875,145927,-4556316.65,139947,-670181.0375,15290,-16858497.362500004,-2897374.1750000003
8.0,1,10,0.35,0.8,-6648133.485,116804,-6434208.444999999,113535,-3992483.2849999988,102982,-662354.875,11349,-17074825.215,-2925518.9634999996
8.0,2,10,0.35,0.6,-6229123.162500001,116754,-5991619.9525,113485,-5017106.7975,102932,-622647.4099999999,11299,-17237849.9125,-2928133.562375
8.0,3,12,0.25,0.6,-6261151.175000001,150303,-6018872.987500001,145827,-4883372.2,139847,-661547.0249999999,15190,-17163396.3625,-2938360.318125
8.0,1,16,0.15,0.4,-6150572.219999998,221944,-6204723.585,219249,-5213401.709999998,210557,-596088.375,21434,-17568697.514999997,-2963153.233499999
8.0,1,14,0.15,0.8,-6636826.304999999,210935,-6076789.574999999,195371,-4932507.54,184492,-593150.88,19090,-17646123.419999998,-2973151.4969999995
8.0,3,16,0.15,0.4,-6195478.259999999,221844,-6192019.95,219149,-5393707.619999999,210457,-589829.2949999999,21334,-17781205.83,-2991586.9867499997
8.0,3,10,0.35,0.8,-6637618.399999999,116704,-6438915.385000001,113435,-4421796.47,102882,-670597.515,11249,-17498330.255,-2993578.1714999997
8.0,3,14,0.15,0.8,-6683323.425,210835,-6054897.600000001,195271,-5132166.959999999,184392,-593594.67,18990,-17870387.985,-3007035.26625
8.0,2,8,1.0,0.6,-4747804.800000001,42428,-6924854.9,53426,-6312040.100000001,56877,-678317.7999999999,4777,-17984699.8,-3070779.7600000002
8.0,2,12,0.25,0.6,-6338321.062499999,150353,-6058601.0875,145877,-5658973.7250000015,139897,-671776.475,15240,-18055895.875,-3077861.4425000004
8.0,2,16,0.15,0.4,-6278200.784999999,221894,-6195398.2349999985,219199,-5891580.779999999,210507,-591033.0149999999,21384,-18365179.799999997,-3079845.128249999
8.0,2,14,0.15,0.8,-6767853.315,210885,-6066691.304999998,195321,-5620948.875,184442,-594248.355,19040,-18455493.494999997,-3095160.6194999996
8.0,3,8,1.0,1.0,-5343917.0,42378,-8169019.5,53376,-4380053.5,56827,-779236.75,4727,-17892990.0,-3112528.7125
8.0,1,20,0.15,0.2,-6170938.725,235379,-6570580.702499998,236025,-5652728.467500001,229408,-650279.0175000001,23422,-18394247.895,-3116790.6438749996
8.0,1,12,0.25,0.8,-6770065.2,150403,-6513147.749999999,145927,-5019950.824999999,139947,-722768.5499999999,15290,-18303163.775,-3142997.2687499993
8.0,3,20,0.15,0.2,-6228455.587500002,235279,-6585935.3925,235925,-5806891.4025,229308,-654670.125,23322,-18621282.3825,-3153260.926125
8.0,1,10,0.35,1.0,-7148733.2875,116804,-6905843.437499999,113535,-4420721.725,102982,-710631.4249999999,11349,-18475298.449999996,-3162142.0512499996
8.0,2,10,0.35,0.8,-6729491.6499999985,116754,-6463051.595,113485,-5445114.779999999,102932,-670732.9299999999,11299,-18637658.025,-3164551.8152499995
8.0,1,10,0.5,0.2,-7351905.824999999,116804,-7170433.525,113535,-3868239.9499999997,102982,-739321.75,11349,-18390579.3,-3165213.8575
8.0,3,12,0.25,0.8,-6764707.274999999,150303,-6495686.649999999,145827,-5346639.975,139847,-713839.2000000001,15190,-18607033.9,-3183666.6449999996
